pattern,Number of occurrences
"('CAF', 'CAF', 'CAF')",798
"('CAF', 'CAF', 'Malignant')",118
"('CAF', 'CAF', 'Macrophage')",142
"('CAF', 'CAF', 'Plasma')",96
"('CAF', 'Malignant', 'Malignant')",104
"('CAF', 'Malignant', 'Macrophage')",40
"('CAF', 'Malignant', 'Plasma')",19
"('CAF', 'Macrophage', 'Macrophage')",48
"('CAF', 'Macrophage', 'Plasma')",23
"('CAF', 'Plasma', 'Plasma')",42
"('Malignant', 'Malignant', 'Malignant')",516
"('Malignant', 'Malignant', 'Macrophage')",66
"('Malignant', 'Malignant', 'Plasma')",20
"('Malignant', 'Macrophage', 'Macrophage')",26
"('Malignant', 'Macrophage', 'Plasma')",8
"('Malignant', 'Plasma', 'Plasma')",10
"('Macrophage', 'Macrophage', 'Macrophage')",48
"('Macrophage', 'Macrophage', 'Plasma')",22
"('Macrophage', 'Plasma', 'Plasma')",20
"('Plasma', 'Plasma', 'Plasma')",78
